Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
finding-ferdinand-bing-cherry-lip-color,,,,,,,,Matte Lip Stick,,,,,FF14,3,shopify,10,continue,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Bing_Cherry_Finding_Ferdinand_Lip_Stick.png?v=1500494915,2,,,,,,,,,,,,,,,,,,,oz,
finding-ferdinand-bing-cherry-lip-color,,,,,,,,Sheer Lip Tint,,,,,FF14,3,shopify,10,continue,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Lip-Circles_Bing-Cherry.jpg?v=1500494915,3,,,,,,,,,,,,,,,,,,,oz,
finding-ferdinand-berry-jam-lip-color,Berry Jam Lip Stick,"<meta charset=""utf-8"">
<p><strong></strong>That dusky purple that's perfect for making a statement. Bright enough to show off your fun side, yet muted to add a little mystery.</p>
<p>Finding Ferdinand is about finding the things that make up our best selves. With high pigments, Finding Ferdinand creates friendly lip colors that brightens up your grin. The creamy texture provides comfort while our ingredients naturally hydrate and protect your lips from harsh wind and harmful sun rays. Seed oils and leaf extracts create a natural, shiny finish that is perfect for every occasion. Without harmful ingredients, we put the best ingredients in our lip colors so you can show off the best you with no worries.</p>
<h3 class=""p1""><b>PRODUCT DETAILS:</b></h3>
<ul class=""ul1"">
<li class=""li1"">
<span class=""s1""></span>Net Weight: 0.1 oz</li>
<li class=""li1"">
<span class=""s1""></span>Dimensions: 21mm x 21mm x 76mm</li>
<li class=""li1"">
<span class=""s1""></span>High-pigment for long lasting wear</li>
<li class=""li1"">
<span class=""s1""></span>Moisturizing blend of botanical oils that allow lip colors to apply smoothly</li>
</ul>
<p class=""p1""><b>PIGMENTATION:</b> High pigment and long lasting wear</p>
<p class=""p1""><b>TEXTURE:</b> Creamy, semi-shine, light</p>
<meta charset=""utf-8"">
<p><b>BENEFITS:<span> </span></b><span>A natural sunscreen, Moisturizer, Emollient, Anti-aging against fine lines and wrinkles, Detoxification, Repairs</span></p>
<p><span>Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span>Ingredients page</span></a><span> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span>Get FREE standard shipping on all U.S. orders.</span></p>
<p>U.S. Priority Mail (2-3 days): $5</p>
<p><span>Standard Shipping to Canada: $25</span></p>
<p><span>Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span>It takes approximately 2-3 business days for your lip color to be handcrafted.</span></p>",findingferdinand2,Beauty,"beauty, lips, Lipstick",true,Finish,Creamy Lip Stick,,,,,FF12,3,shopify,30,continue,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Lip-Color_Berry-Jam_e1e1a413-5e53-48ee-b7ec-54683a8d6a72.jpg?v=1500494854,1,,false,,,,,,,,,,,,,,,,,oz,
finding-ferdinand-berry-jam-lip-color,,,,,,,,Matte Lip Stick,,,,,FF12,3,shopify,30,continue,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Berry_Jam_Finding_Ferdinand_Lip_Stick.png?v=1500494854,2,,,,,,,,,,,,,,,,,,,oz,
finding-ferdinand-berry-jam-lip-color,,,,,,,,Sheer Lip Tint,,,,,FF12,3,shopify,10,continue,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Lip-Circles_Berry-Jam.jpg?v=1500494854,3,,,,,,,,,,,,,,,,,,,oz,
finding-ferdinand-au-naturel-lip-color,Au Naturel Lip Stick,"<meta charset=""utf-8"">
<p><strong></strong>A soft, nude color to add a little dash of glamor to your effortless look. Who said nude pouts are boring? Pair it with anything and you can rock it out.</p>
<p>Finding Ferdinand is about finding the things that make up our best selves. With high pigments, Finding Ferdinand creates friendly lip colors that brightens up your grin. The creamy texture provides comfort while our ingredients naturally hydrate and protect your lips from harsh wind and harmful sun rays. Seed oils and leaf extracts create a natural, shiny finish that is perfect for every occasion. Without harmful ingredients, we put the best ingredients in our lip colors so you can show off the best you with no worries.</p>
<h3><strong>PRODUCT DETAILS:</strong></h3>
<ul>
<li>Net Weight: 0.1 oz</li>
<li>Dimensions: 21mm x 21mm x 76mm</li>
<li>High-pigment for long lasting wear</li>
<li>Moisturizing blend of botanical oils that allow lip colors to apply smoothly</li>
</ul>
<p><span><strong>PIGMENTATION:</strong></span> High pigment and long lasting wear</p>
<p><span><strong>TEXTURE:</strong></span> Creamy, semi-shine, light</p>
<meta charset=""utf-8"">
<p><b>BENEFITS:<span> </span></b><span>A natural sunscreen, Moisturizer, Emollient, Anti-aging against fine lines and wrinkles, Detoxification, Repairs</span></p>
<p><span>Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span>Ingredients page</span></a><span> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span>Get FREE standard shipping on all U.S. orders.</span></p>
<p>U.S. Priority Mail (2-3 days): $5</p>
<p><span>Standard Shipping to Canada: $25</span></p>
<p><span>Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span>It takes approximately 2-3 business days for your lip color to be handcrafted.</span></p>",findingferdinand2,Beauty,"beauty, Lipstick",true,Finish,Creamy Lip Stick,,,,,FF10,3,shopify,9,deny,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Lip-Color_Au-Naturel.jpg?v=1500305684,1,,false,,,,,,,,,,,,,,,,,oz,
finding-ferdinand-au-naturel-lip-color,,,,,,,,Matte Lip Stick,,,,,FF10,3,shopify,10,deny,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Au_Naturel_Finding_Ferdinand_Lip_Stick.png?v=1500305684,2,,,,,,,,,,,,,,,,,,,oz,
finding-ferdinand-au-naturel-lip-color,,,,,,,,Sheer Lip Tint,,,,,FF10,3,shopify,10,continue,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Lip-Circles_Au-Naturel.jpg?v=1500389920,3,,,,,,,,,,,,,,,,,,,oz,
finding-ferdinand-secrets-of-the-bahamas-sheer-lip-color-quick-stick-balm,Secrets of the Bahamas Lip Tint,"<meta charset=""utf-8"">
<p><strong></strong>Cherry Blossom's adventurous side. A hot, yet subtle, pink to warm things up.</p>
<p class=""p1"">With a blend of hydrating oils and creamy lip color, Finding Ferdinand Lip Tint is the tinted lip balm that adds an effortless pop to your look. The sheer color creates a soft look that is buildable on your lips and can be swiped and blended across your cheeks for a light flush of color.  A twistable crayon packaging allows the Lip Tint to be clean and portable, perfect for tossing in your bag and applying on the go. </p>
<p class=""p1"">Already an #FFgirl and own a <a href=""http://www.findingferdinand.com/products/starter-kit-lip-palette""><span class=""s1"">Starter Kit</span></a>? Try this combo from the palette or mix it for yourself on the <a href=""https://itunes.apple.com/us/app/finding-ferdinand-custom-lipstick-beauty/id1193085629?mt=8""><span class=""s1"">Finding Ferdinand Lipstick &amp; Beauty App</span></a>:</p>
<p><em>Au Naturel + Red Fantasy + Cranberry + Pink Pizzazz</em></p>
<h3 class=""p1""><b>PRODUCT DETAILS:</b></h3>
<ul class=""ul1"">
<li class=""li1"">
<span class=""s1""></span>Net Weight: 0.12 oz</li>
<li class=""li1"">
<span class=""s1""></span>Dimensions: 16mm x 110mm</li>
<li class=""li1"">
<span class=""s1""></span>Build-able color</li>
<li class=""li1"">
<span class=""s1""></span>Moisturizing blend of botanical oils that allow color to go on smoothly</li>
</ul>
<p class=""p1""><b>PIGMENTATION:</b> Sheer, buildable color</p>
<p class=""p1""><b>TEXTURE:</b> Smooth and balmy without being sticky or too glossy</p>
<p class=""p1""><b>KEY INGREDIENTS:</b> Castor Oil, Grapeseed Oil, Jojoba Oil, Argan Oil</p>
<p><b>BENEFITS: </b><span style=""font-weight: 400;"">A natural sunscreen, Moisturizer, Emollient, Anti-aging against fine lines and wrinkles, Detoxification, Repairs</span></p>
<p><span style=""font-weight: 400;"">Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span style=""font-weight: 400;"">Ingredients page</span></a><span style=""font-weight: 400;""> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span style=""font-weight: 400;"">Get FREE standard shipping on all U.S. orders.</span></p>
<p><span style=""font-weight: 400;"">U.S. Priority Mail (2-3 days): $5</span></p>
<p><span style=""font-weight: 400;"">Standard Shipping to Canada: $25</span></p>
<p><span style=""font-weight: 400;"">Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span style=""font-weight: 400;"">It takes approximately 2-3 business days for your lip color to be handcrafted.</span></p>
<p> </p>",findingferdinand2,Beauty,"Beauty, chubby stick, Lip Tint, quick stick",false,Title,Default Title,,,,,QS9,0,shopify,4,continue,manual,28.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Quick-Stick_Secrets-of-the-Bahamas.jpg?v=1500562974,1,,false,,,,,,,,,,,,,,,,,lb,
finding-ferdinand-secrets-of-the-bahamas-sheer-lip-color-quick-stick-balm,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1099/1078/products/Finding_Ferdinand_Color_Mix_Secrets_to_the_Bahamas.png?v=1500562974,2,,,,,,,,,,,,,,,,,,,,
finding-ferdinand-hibiscus-kisses-sheer-lip-color-quick-stick-balm,Hibiscus Kisses Lip Tint,"<meta charset=""utf-8"">
<p><strong></strong>A rosey, berry blush that flatters every skin tone. Head out to a picnic in the park or spend a day at the museum, either way, Hibiscus Kisses will add a little romance into your day.</p>
<p class=""p1"">With a blend of hydrating oils and creamy lip color, Finding Ferdinand Lip Tint is the tinted lip balm that adds an effortless pop to your look. The sheer color creates a soft look that is buildable on your lips and can be swiped and blended across your cheeks for a light flush of color.  A twistable crayon packaging allows the Lip Tint to be clean and portable, perfect for tossing in your bag and applying on the go. </p>
<p class=""p1"">Already an #FFgirl and own a <a href=""http://www.findingferdinand.com/products/starter-kit-lip-palette""><span class=""s1"">Starter Kit</span></a>? Try this combo from the palette or mix it for yourself on the <a href=""https://itunes.apple.com/us/app/finding-ferdinand-custom-lipstick-beauty/id1193085629?mt=8""><span class=""s1"">Finding Ferdinand Lipstick &amp; Beauty App</span></a>:</p>
<p><em>Mauvelous + Au Naturel + Orange Sorbet + Classic Coral + Flaming Fuchsia + Sinful</em></p>
<h3 class=""p1""><b>PRODUCT DETAILS:</b></h3>
<ul class=""ul1"">
<li class=""li1"">
<span class=""s1""></span>Net Weight: 0.12 oz</li>
<li class=""li1"">
<span class=""s1""></span>Dimensions: 16mm x 110mm</li>
<li class=""li1"">
<span class=""s1""></span>Build-able color</li>
<li class=""li1"">
<span class=""s1""></span>Moisturizing blend of botanical oils that allow color to go on smoothly</li>
</ul>
<p class=""p1""><b>PIGMENTATION:</b> Sheer, buildable color</p>
<p class=""p1""><b>TEXTURE:</b> Smooth and balmy without being sticky or too glossy</p>
<p class=""p1""><b>KEY INGREDIENTS:</b> Castor Oil, Grapeseed Oil, Jojoba Oil, Argan Oil</p>
<p><b>BENEFITS: </b><span style=""font-weight: 400;"">A natural sunscreen, Moisturizer, Emollient, Anti-aging against fine lines and wrinkles, Detoxification, Repairs</span></p>
<p><span style=""font-weight: 400;"">Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span style=""font-weight: 400;"">Ingredients page</span></a><span style=""font-weight: 400;""> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span style=""font-weight: 400;"">Get FREE standard shipping on all U.S. orders.</span></p>
<p><span style=""font-weight: 400;"">U.S. Priority Mail (2-3 days): $5</span></p>
<p><span style=""font-weight: 400;"">Standard Shipping to Canada: $25</span></p>
<p><span style=""font-weight: 400;"">Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span style=""font-weight: 400;"">It takes approximately 2-3 business days for your lip color to be handcrafted.</span></p>",findingferdinand2,Beauty,"beauty, chubby stick, Lip Tint, quick stick",false,Title,Default Title,,,,,QS8,0,shopify,10,continue,manual,28.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Quick-Stick_Hibiscus-Kisses.jpg?v=1500390432,1,,false,,,,,,,,,,,,,,,,,lb,
finding-ferdinand-hibiscus-kisses-sheer-lip-color-quick-stick-balm,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1099/1078/products/Finding_Ferdinand_Hibiscus_Kisses_Swatch.jpg?v=1500390432,2,,,,,,,,,,,,,,,,,,,,
finding-ferdinand-hibiscus-kisses-sheer-lip-color-quick-stick-balm,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Lip-Circles_Hibiscus-Kisses.jpg?v=1500390432,3,,,,,,,,,,,,,,,,,,,,
finding-ferdinand-pillowtalk-lip-color,Pillowtalk Lip Color,"<!-- Created with Shogun. -->
<link rel=""stylesheet"" type=""text/css"" href=""https://cdn.getshogun.com/ff35b500-6946-43a6-bf6b-ea62db2b84f9.css"">
<div class=""shogun-root"">
<div id=""s-7c2bf969-514c-4fe4-98d8-af9ad77fd7a7"" class=""shg-c "">
<p>Description: </p>
<p>A deep, rosey nude - soft enough for everyday. Nude doesn't mean boring, you can still have a little attitude.</p>
<p>Finding Ferdinand is about finding the things that make up our best selves. With high pigments, Finding Ferdinand creates friendly lip colors that brightens up your grin. The creamy texture provides comfort while our ingredients naturally hydrate and protect your lips from harsh wind and harmful sun rays. Seed oils and leaf extracts create a natural, shiny finish that is perfect for every occasion. Without harmful ingredients, we put the best ingredients in our lip colors so you can show off the best you with no worries.</p>
<p>Already an #FFgirl and own a Starter Kit? Try this combo from the palette: </p>
<p>Mauvelous + Creamy Mauve + Orange Flare + Classic Coral + Sinful</p>
<p>Lipstick Details:</p>
<p>Size 0.1 oz
High-pigment for long lasting wear
Moisturizing blend of botanical oils that allow color to go on smoothly</p>
<p>Pigmentation: High pigment and long lasting wear</p>
<p>Texture: Creamy, semi-shine, light</p>
<p>Benefits: A natural sunscreen, Moisturizer, Emollient, Anti-aging against fine lines and wrinkles, Detoxification, Repairs</p>
</div>
<div id=""s-57ef0727-9616-4dba-ae0c-b65f62cb0c42"" class=""shg-c "">
<meta charset=""utf-8"">
</div>
<div id=""s-1266c71b-0fd3-4a54-babd-460d775e883c"" class=""shg-c "">
<p>Finding Ferdinand does not test on animals and formulates without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Talc, and Gluten.</p>
<p>Shipping Details:</p>
</div>
<div id=""s-b3b29a88-5f62-4989-afc4-094826557511"" class=""shg-c "">
<meta charset=""utf-8"">
</div>
<div id=""s-153de55e-5d0e-4e16-a77c-fe088845a58f"" class=""shg-c "">
<p>It takes approximately 2-3 business days for your lip color to be made.</p>
<p>*Complimentary shipping on all domestic orders.</p>
</div>
</div>
<script src=""https://cdn.getshogun.com/ff35b500-6946-43a6-bf6b-ea62db2b84f9.js""></script>",findingferdinand2,Beauty,"Beauty, Lipstick, Pillow Talk",true,Finish,Creamy Lip Stick,,,,,LS7,3,shopify,7,continue,manual,30.00,30.00,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Lip-Color_Pillowtalk_d7b3fd47-831a-4c33-9e65-40f77f9a9d78.jpg?v=1500391672,1,,false,,,,,,,,,,,,,,,,,oz,
finding-ferdinand-pillowtalk-lip-color,,,,,,,,Matte Lip Stick,,,,,LS7,3,shopify,10,continue,manual,30.00,30.00,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Pillowtalk_Finding_Ferdinand_Lip_Stick.png?v=1500391672,2,,,,,,,,,,,,,,,,,,,oz,
finding-ferdinand-pillowtalk-lip-color,,,,,,,,Sheer Lip Tint,,,,,LS7,3,shopify,9,continue,manual,30.00,30.00,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Lip-Circles_Pillowtalk.jpg?v=1500391672,3,,,,,,,,,,,,,,,,,,,oz,
finding-ferdinand-pillowtalk-sheer-lip-color-quick-stick-balm,Pillowtalk Lip Tint,"<meta charset=""utf-8"">
<p><strong></strong>The older sister of Keys to Gramercy Park, Pillowtalk is a deep, rosey nude. It's versatile like its sister, but has a little bit of attitude.</p>
<p class=""p1"">With a blend of hydrating oils and creamy lip color, Finding Ferdinand Lip Tint is the tinted lip balm that adds an effortless pop to your look. The sheer color creates a soft look that is buildable on your lips and can be swiped and blended across your cheeks for a light flush of color.  A twistable crayon packaging allows the Lip Tint to be clean and portable, perfect for tossing in your bag and applying on the go. </p>
<p class=""p1"">Already an #FFgirl and own a <a href=""http://www.findingferdinand.com/products/starter-kit-lip-palette""><span class=""s1"">Starter Kit</span></a>? Try this combo from the palette or mix it for yourself on the <a href=""https://itunes.apple.com/us/app/finding-ferdinand-custom-lipstick-beauty/id1193085629?mt=8""><span class=""s1"">Finding Ferdinand Lipstick &amp; Beauty App</span></a>:</p>
<p><em>Mauvelous + Creamy Mauve + Orange Flare + Classic Coral + Sinful</em></p>
<h3 class=""p1""><b>PRODUCT DETAILS:</b></h3>
<ul class=""ul1"">
<li class=""li1"">
<span class=""s1""></span>Net Weight: 0.12 oz</li>
<li class=""li1"">
<span class=""s1""></span>Dimensions: 16mm x 110mm</li>
<li class=""li1"">
<span class=""s1""></span>Build-able color</li>
<li class=""li1"">
<span class=""s1""></span>Moisturizing blend of botanical oils that allow color to go on smoothly</li>
</ul>
<p class=""p1""><b>PIGMENTATION:</b> Sheer, buildable color</p>
<p class=""p1""><b>TEXTURE:</b> Smooth and balmy without being sticky or too glossy</p>
<p class=""p1""><b>KEY INGREDIENTS:</b> Castor Oil, Grapeseed Oil, Jojoba Oil, Argan Oil</p>
<p><b>BENEFITS: </b><span style=""font-weight: 400;"">A natural sunscreen, Moisturizer, Emollient, Anti-aging against fine lines and wrinkles, Detoxification, Repairs</span></p>
<p><span style=""font-weight: 400;"">Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span style=""font-weight: 400;"">Ingredients page</span></a><span style=""font-weight: 400;""> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span style=""font-weight: 400;"">Get FREE standard shipping on all U.S. orders.</span></p>
<p><span style=""font-weight: 400;"">U.S. Priority Mail (2-3 days): $5</span></p>
<p><span style=""font-weight: 400;"">Standard Shipping to Canada: $25</span></p>
<p><span style=""font-weight: 400;"">Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span style=""font-weight: 400;"">It takes approximately 2-3 business days for your lip color to be handcrafted.</span></p>",findingferdinand2,Beauty,"Beauty, chubby stick, Lip Tint, pillow talk, quick stick",false,Title,Default Title,,,,,QS7,0,shopify,10,continue,manual,14.00,28.00,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Quick-Stick_Pillowtalk.jpg?v=1497307437,1,,false,,,,,,,,,,,,,,,,,lb,
finding-ferdinand-pillowtalk-sheer-lip-color-quick-stick-balm,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1099/1078/products/Finding_Ferdinand_Pillowtalk_Sheer_Swatch.jpg?v=1497307437,2,,,,,,,,,,,,,,,,,,,,
finding-ferdinand-pillowtalk-sheer-lip-color-quick-stick-balm,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1099/1078/products/Finding_Ferdinand_Color_Mix_Pillowtalk_02282b68-7d9c-4b3d-a98d-4ad5c4403a6d.png?v=1497307437,3,,,,,,,,,,,,,,,,,,,,
finding-ferdinand-scandal-sheer-lip-color-quick-stick-balm,Scandal Lip Tint,"<meta charset=""utf-8"">
<p><strong></strong>A dark red that adds a little bit of mystery. You'll be the talk of the night when you step into the room.</p>
<p class=""p1"">With a blend of hydrating oils and creamy lip color, Finding Ferdinand Lip Tint is the tinted lip balm that adds an effortless pop to your look. The sheer color creates a soft look that is buildable on your lips and can be swiped and blended across your cheeks for a light flush of color.  A twistable crayon packaging allows the Lip Tint to be clean and portable, perfect for tossing in your bag and applying on the go. </p>
<p class=""p1"">Already an #FFgirl and own a <a href=""http://www.findingferdinand.com/products/starter-kit-lip-palette""><span class=""s1"">Starter Kit</span></a>? Try this combo from the palette or mix it for yourself on the <a href=""https://itunes.apple.com/us/app/finding-ferdinand-custom-lipstick-beauty/id1193085629?mt=8""><span class=""s1"">Finding Ferdinand Lipstick &amp; Beauty App</span></a>:</p>
<p><em>Bing Cherry + Sinful</em></p>
<h3 class=""p1""><b>PRODUCT DETAILS:</b></h3>
<ul class=""ul1"">
<li class=""li1"">
<span class=""s1""></span>Net Weight: 0.12 oz</li>
<li class=""li1"">
<span class=""s1""></span>Dimensions: 16mm x 110mm</li>
<li class=""li1"">
<span class=""s1""></span>Build-able color</li>
<li class=""li1"">
<span class=""s1""></span>Moisturizing blend of botanical oils that allow color to go on smoothly</li>
</ul>
<p class=""p1""><b>PIGMENTATION:</b> Sheer, buildable color</p>
<p class=""p1""><b>TEXTURE:</b> Smooth and balmy without being sticky or too glossy</p>
<p class=""p1""><b>KEY INGREDIENTS:</b> Castor Oil, Grapeseed Oil, Jojoba Oil, Argan Oil</p>
<p><b>BENEFITS: </b><span style=""font-weight: 400;"">A natural sunscreen, Moisturizer, Emollient, Anti-aging against fine lines and wrinkles, Detoxification, Repairs</span></p>
<p><span style=""font-weight: 400;"">Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span style=""font-weight: 400;"">Ingredients page</span></a><span style=""font-weight: 400;""> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span style=""font-weight: 400;"">Get FREE standard shipping on all U.S. orders.</span></p>
<p><span style=""font-weight: 400;"">U.S. Priority Mail (2-3 days): $5</span></p>
<p><span style=""font-weight: 400;"">Standard Shipping to Canada: $25</span></p>
<p><span style=""font-weight: 400;"">Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span style=""font-weight: 400;"">It takes approximately 2-3 business days for your lip color to be handcrafted.</span></p>",findingferdinand2,Beauty,"Beauty, chubby stick, lip tint, quick stick",false,Title,Default Title,,,,,QS4,0,shopify,10,continue,manual,28.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Quick-Stick_Scandal.jpg?v=1497307498,1,,false,,,,,,,,,,,,,,,,,lb,
finding-ferdinand-scandal-sheer-lip-color-quick-stick-balm,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1099/1078/products/Finding_Ferdinand_Scandal_Swatch.jpg?v=1497307498,2,,,,,,,,,,,,,,,,,,,,
finding-ferdinand-scandal-sheer-lip-color-quick-stick-balm,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1099/1078/products/Finding_Ferdinand_Color_Mix_Scandal.png?v=1497307498,3,,,,,,,,,,,,,,,,,,,,
finding-ferdinand-tropical-storm-lip-color,Tropical Storm Lip Stick,"<p class=""p1""><span class=""s1""><b></b></span><span class=""s1"">A lusty purple that adds a sense of enchantment. It's perfect with a glass of wine on a not-so-sunny day.</span></p>
<p class=""p2""><span class=""s1"">Finding Ferdinand is about finding the things that make up our best selves. With high pigments, Finding Ferdinand creates friendly lip colors that brightens up your grin. The creamy texture provides comfort while our ingredients naturally hydrate and protect your lips from harsh wind and harmful sun rays. Seed oils and leaf extracts create a natural, shiny finish that is perfect for every occasion. Without harmful ingredients, we put the best ingredients in our lip colors so you can show off the best you with no worries.</span></p>
<p class=""p1"">Already an #FFgirl and own a <a href=""http://www.findingferdinand.com/products/starter-kit-lip-palette""><span class=""s1"">Starter Kit</span></a>? Try this combo from the palette or mix it for yourself on the <a href=""https://itunes.apple.com/us/app/finding-ferdinand-custom-lipstick-beauty/id1193085629?mt=8""><span class=""s1"">Finding Ferdinand Lipstick &amp; Beauty App</span></a>:</p>
<p class=""p2""><span class=""s1""><i>Mauvelous + Flaming Fuchsia + Berry Jam </i></span></p>
<h3 class=""p1""><b>PRODUCT DETAILS:</b></h3>
<ul class=""ul1"">
<li class=""li1"">
<span class=""s1""></span>Net Weight: 0.1 oz</li>
<li class=""li1"">
<span class=""s1""></span>Dimensions: 21mm x 21mm x 76mm</li>
<li class=""li1"">
<span class=""s1""></span>High-pigment for long lasting wear</li>
<li class=""li1"">
<span class=""s1""></span>Moisturizing blend of botanical oils that allow lip colors to apply smoothly</li>
</ul>
<p class=""p1""><b>PIGMENTATION:</b> High pigment and long lasting wear</p>
<p class=""p1""><b>TEXTURE:</b> Creamy, semi-shine, light</p>
<p><b>BENEFITS: </b><span style=""font-weight: 400;"">A natural sunscreen, Moisturizer, Emollient, Anti-aging against fine lines and wrinkles, Detoxification, Repairs</span></p>
<p><span style=""font-weight: 400;"">Our products are made with the good stuff. We formulate without Parabens, Mineral Oil, Phthalates, Triclosan, Sodium Lauryl Sulfate, Petroleum, Talc, and Gluten. See our </span><a href=""https://www.findingferdinand.com/pages/ingredients""><span style=""font-weight: 400;"">Ingredients page</span></a><span style=""font-weight: 400;""> for more details.</span></p>
<h3><b>SHIPPING DETAILS:</b></h3>
<p><span style=""font-weight: 400;"">Get FREE standard shipping on all U.S. orders.</span></p>
<p><span style=""font-weight: 400;"">U.S. Priority Mail (2-3 days): $5</span></p>
<p><span style=""font-weight: 400;"">Standard Shipping to Canada: $25</span></p>
<p><span style=""font-weight: 400;"">Email us at hello@findingferdinand.com for information on orders shipping outside of the U.S. and Canada.</span></p>
<p><span style=""font-weight: 400;"">It takes approximately 2-3 business days for your lip color to be handcrafted.</span></p>",findingferdinand2,Beauty,"Beauty, Lipstick",true,Finish,Creamy Lip Stick,,,,,LS12,3,shopify,10,continue,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/1099/1078/products/Finding-Ferdinand-Lip-Color_Tropical-Storm_c4f6086a-fdb0-4cf3-b39f-c925bf579c7a.jpg?v=1500390946,1,,false,,,,,,,,,,,,,,,,,oz,
